feature,class,mean,var
AI Score,0,0.6592233009708737,0.1508616282905917
Years of Experience,0,0.5339805825242718,0.4527289107865865
Age,0,39.74271844660194,89.20079658917287
edu_Bachelor,0,0.7330097087378641,0.19570657126353955
edu_High School,0,0.2669902912621359,0.19570657126353955
edu_Master,0,0.0,9.562964309018159e-08
edu_PhD,0,0.0,9.562964309018159e-08
AI Score,1,2.6879409351927763,1.7510195638391102
Years of Experience,1,2.1123872026251025,4.021003338648793
Age,1,39.84577522559475,96.71452490482737
edu_Bachelor,1,0.5479901558654635,0.2476970405696495
edu_High School,1,0.03855619360131255,0.03706970916593376
edu_Master,1,0.38146021328958163,0.2359484145962913
edu_PhD,1,0.03199343724364233,0.03096995284662173
