bin_left,bin_right,count
0.0,0.3333333333333333,65
0.3333333333333333,0.6666666666666666,31
0.6666666666666666,1.0,87
1.0,1.3333333333333333,346
1.3333333333333333,1.6666666666666665,132
1.6666666666666665,2.0,0
2.0,2.333333333333333,490
2.333333333333333,2.6666666666666665,101
2.6666666666666665,3.0,96
3.0,3.333333333333333,296
3.333333333333333,3.6666666666666665,48
3.6666666666666665,4.0,0
4.0,4.333333333333333,169
4.333333333333333,4.666666666666666,30
4.666666666666666,5.0,11
5.0,5.333333333333333,50
5.333333333333333,5.666666666666666,16
5.666666666666666,6.0,0
6.0,6.333333333333333,32
6.333333333333333,6.666666666666666,6
6.666666666666666,7.0,5
7.0,7.333333333333333,12
7.333333333333333,7.666666666666666,1
7.666666666666666,8.0,0
8.0,8.333333333333332,8
8.333333333333332,8.666666666666666,1
8.666666666666666,9.0,1
9.0,9.333333333333332,1
9.333333333333332,9.666666666666666,0
9.666666666666666,10.0,1
